case,limit_state,combination,name,G,LM1,W,T,G_rev,G_irr
reaction,uls,uls_1,uls_6.10a_perm_max,1.4,1.2,1.32,1.32,1.4,1.4
reaction,uls,uls_2,uls_6.10b_traffic_max,1.25,1.5,1.32,1.32,1.25,1.25
reaction,uls,uls_3,uls_6.10b_wind_max,1.25,1.2,1.65,1.32,1.25,1.25
reaction,uls,uls_4,uls_6.10b_temp_max,1.25,1.2,1.32,1.65,1.25,1.25
reaction,uls,uls_5,uls_6.10a_perm_min,0.9,1.2,1.32,1.32,0.9,0.9
reaction,uls,uls_6,uls_6.10b_traffic_min,0.9,1.5,1.32,1.32,0.9,0.9
reaction,uls,uls_7,uls_6.10b_wind_min,0.9,1.2,1.65,1.32,0.9,0.9
reaction,uls,uls_8,uls_6.10b_temp_min,0.9,1.2,1.32,1.65,0.9,0.9
reaction,sls,sls_1,sls_6.10a_perm,1,0.8,0.8,0.8,1,1
reaction,sls,sls_2,sls_6.10b_traffic,1,1,0.8,0.8,1,1
reaction,sls,sls_3,sls_6.10b_wind,1,0.8,1,0.8,1,1
reaction,sls,sls_4,sls_6.10b_temp,1,0.8,0.8,1,1,1
reaction,sls,sls_5,sls_6.10a_perm,1,0.8,0.8,0.8,1,1
reaction,sls,sls_6,sls_6.10b_traffic,1,1,0.8,0.8,1,1
reaction,sls,sls_7,sls_6.10b_wind,1,0.8,1,0.8,1,1
reaction,sls,sls_8,sls_6.10b_temp,1,0.8,0.8,1,1,1
displacement,uls,uls_1,uls_6.10a_perm_max,1.4,1.2,1.32,0.88,1.4,1.4
displacement,uls,uls_2,uls_6.10b_traffic_max,1.25,1.5,1.32,0.88,1.25,1.25
displacement,uls,uls_3,uls_6.10b_wind_max,1.25,1.2,1.65,0.88,1.25,1.25
displacement,uls,uls_4,uls_6.10b_temp_max,1.25,1.2,1.32,1.1,1.25,1.25
displacement,uls,uls_5,uls_6.10a_perm_min,0.9,1.2,1.32,0.88,0.9,0.9
displacement,uls,uls_6,uls_6.10b_traffic_min,0.9,1.5,1.32,0.88,0.9,0.9
displacement,uls,uls_7,uls_6.10b_wind_min,0.9,1.2,1.65,0.88,0.9,0.9
displacement,uls,uls_8,uls_6.10b_temp_min,0.9,1.2,1.32,1.1,0.9,0.9
displacement,sls,sls_1,sls_6.10a_perm,1,0.8,0.8,0.8,1,1
displacement,sls,sls_2,sls_6.10b_traffic,1,1,0.8,0.8,1,1
displacement,sls,sls_3,sls_6.10b_wind,1,0.8,1,0.8,1,1
displacement,sls,sls_4,sls_6.10b_temp,1,0.8,0.8,1,1,1
displacement,sls,sls_5,sls_6.10a_perm,1,0.8,0.8,0.8,1,1
displacement,sls,sls_6,sls_6.10b_traffic,1,1,0.8,0.8,1,1
displacement,sls,sls_7,sls_6.10b_wind,1,0.8,1,0.8,1,1
displacement,sls,sls_8,sls_6.10b_temp,1,0.8,0.8,1,1,1
