Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 21:50:19

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Combination Case and Envelope Details
Cases for which results are not available are displayed in red" or, in case descriptions, within angle brackets."


Combination Cases

START_TABLE Combination Cases
Case,Name,Note,Permutation,Description
C1,Permanent (upperbound),SW captured in C144 is already scaled by 1.05. Arch and MG include diaph. and stiff. weight.,,C144 + A11 + A13 + A14
C2,Permanent (lowerbound),SW is scaled by 1/1.05 = 0.95238. Arch and MG include diaph. and stiff. weight.,,0.95238(C144) + A11 + A13 + A14
C4,Permanent (steelwork upperbound),Structural DL. scaled by 1.05,,1.05(A3 + A4 + A5 + A6 + A7 + A8 + A9 + A10)
C5,Permanent (steelwork lowerbound),Structural DL. Not scaled by 1.05,,A3 + A4 + A5 + A6 + A7 + A8 + A9 + A10
C6,Permanent (barriers),,,A13
C7,Permanent (other furniture),,,A14
C8,Permanent (surfacing upperbound),,,A11
C9,Permanent (surfacing lowerbound),,,A12
C11,Permanent (bearings) [upper],upper bound bearings,,C4 + A11 + A13 + A14
C12,Permanent (bearings) [lower],lower bound bearings,,C5 + A12 + A13 + A14
C20,"Wind x north: no traffic, up",Wind Group 2 - no traffic,,A20 + A22 + A24 + A36 + A34
C21,"Wind x north: no traffic, down",Wind Group 2 - no traffic,,A20 + A22 + A24 + A36 - A34
C22,"Wind x south: no traffic, up",Wind Group 2 - no traffic,,-A20 - A22 - A24 - A36 + A34
C23,"Wind x south: no traffic, down",Wind Group 2 - no traffic,,-A20 - A22 - A24 - A36 - A34
C24,"Wind y west: no traffic, up",Wind Group 1 - no traffic,,A26 + A30 + A38 + A34
C25,"Wind y west: no traffic, down",Wind Group 1 - no traffic,,A26 + A30 + A38 - A34
C26,"Wind y east: no traffic, up",Wind Group 1 - no traffic,,A27 + A31 - A38 + A34
C27,"Wind y east: no traffic, down",Wind Group 1 - no traffic,,A27 + A31 - A38 - A34
C28,"Wind x & y west: no traffic, up",Wind Group 3 - no traffic,,A20 + A22 + A24 + A36 + 0.4(A26 + A30 + A38) + A34
C29,"Wind x & y west: no traffic, down",Wind Group 3 - no traffic,,A20 + A22 + A24 + A36 + 0.4(A26 + A30 + A38) - A34
C30,"Wind x & y east: no traffic, up",Wind Group 3 - no traffic,,A20 + A22 + A24 + A36 + 0.4(A27 + A31 - A38) + A34
C31,"Wind x & y east: no traffic, down",Wind Group 3 - no traffic,,A20 + A22 + A24 + A36 + 0.4(A27 + A31 - A38) - A34
C32,"Wind x north: with traffic, up",Wind Group 2 - with traffic,,A21 + A23 + A25 + A37 + A35
C33,"Wind x north: with traffic, down",Wind Group 2 - with traffic,,A21 + A23 + A25 + A37 - A35
C34,"Wind x south: with traffic, up",Wind Group 2 - with traffic,,-A21 - A23 - A25 - A37 + A35
C35,"Wind x south: with traffic, down",Wind Group 2 - with traffic,,-A21 - A23 - A25 - A37 - A35
