Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:28:10

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
12110,A1,-0.004605,-5.410,-0.1696,5.413,-0.001271,0.004829,-219.8E-6,0.004998,5.410
12110,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,A3,47.59E-6,-0.3065,-0.04974,0.3105,-153.3E-6,0.001359,-36.17E-6,0.001368,0.3065
12110,A4,31.07E-6,-0.1728,-0.02655,0.1748,-83.48E-6,898.3E-6,-25.50E-6,902.5E-6,0.1728
12110,A5,68.73E-6,-1.373,-0.01800,1.373,-271.3E-6,504.7E-6,-31.21E-6,573.8E-6,1.373
12110,A6,-0.004905,-0.7680,-0.006351,0.7680,-158.7E-6,172.2E-6,-10.39E-6,234.4E-6,0.7680
12110,A7,4.481E-6,-0.06666,-0.008763,0.06724,-36.15E-6,199.0E-6,-9.912E-6,202.5E-6,0.06666
12110,A8,47.46E-6,-0.8187,-0.01680,0.8189,-173.8E-6,502.1E-6,-34.40E-6,532.5E-6,0.8187
12110,A9,105.7E-6,-1.922,-0.03901,1.923,-407.6E-6,0.001162,-78.37E-6,0.001234,1.922
12110,A10,-1.237E-6,-0.005245,-0.007982,0.009551,2.273E-6,141.4E-6,3.088E-6,141.5E-6,0.005245
12110,A11,161.2E-6,-2.975,-0.05977,2.976,-629.1E-6,0.001765,-122.5E-6,0.001878,2.975
12110,A12,128.0E-6,-2.362,-0.04746,2.363,-499.5E-6,0.001402,-97.23E-6,0.001491,2.362
12110,A13,26.86E-6,-0.1255,-0.005101,0.1256,-32.08E-6,152.6E-6,-7.049E-6,156.1E-6,0.1255
12110,A14,-0.07795,-0.4933,-0.01134,0.4996,-106.6E-6,337.1E-6,-22.86E-6,354.3E-6,0.4995
12110,A20,0.3961,-0.02942,44.45E-6,0.3972,-4.656E-6,14.14E-6,7.787E-6,16.80E-6,0.3972
12110,A21,0.2646,-0.01965,29.71E-6,0.2653,-3.111E-6,9.448E-6,5.202E-6,11.23E-6,0.2653
12110,A22,4.903,-0.6529,814.0E-6,4.947,-113.2E-6,159.1E-6,94.72E-6,217.0E-6,4.947
12110,A23,3.281,-0.4368,544.8E-6,3.310,-75.73E-6,106.4E-6,63.38E-6,145.2E-6,3.310
12110,A24,2.064,-0.1608,-214.1E-6,2.070,-29.41E-6,2.897E-6,38.88E-6,48.84E-6,2.070
12110,A25,1.385,-0.1079,-143.7E-6,1.390,-19.74E-6,1.944E-6,26.10E-6,32.78E-6,1.390
12110,A26,19.78,6.047,0.02448,20.68,-230.1E-6,-281.9E-6,674.3E-6,766.2E-6,20.68
12110,A27,-19.78,-6.074,-0.02448,20.69,224.7E-6,281.4E-6,-674.2E-6,764.3E-6,20.69
12110,A28,13.22,4.043,0.01636,13.83,-153.8E-6,-188.4E-6,450.8E-6,512.3E-6,13.83
12110,A29,-13.22,-4.061,-0.01637,13.83,150.3E-6,188.1E-6,-450.8E-6,511.0E-6,13.83
12110,A30,10.74,4.207,0.001212,11.54,146.3E-6,-124.6E-6,346.7E-6,396.4E-6,11.54
12110,A31,-10.74,-4.087,-0.001212,11.49,-129.8E-6,124.6E-6,-340.5E-6,385.2E-6,11.49
12110,A32,7.182,2.811,809.9E-6,7.712,97.78E-6,-83.28E-6,231.8E-6,265.0E-6,7.712
12110,A33,-7.182,-2.732,-809.9E-6,7.684,-86.73E-6,83.30E-6,-227.7E-6,257.5E-6,7.684
12110,A34,-28.85E-6,0.5212,0.01085,0.5213,111.0E-6,-324.4E-6,21.99E-6,343.5E-6,0.5212
12110,A35,-19.31E-6,0.3488,0.007263,0.3489,74.30E-6,-217.1E-6,14.71E-6,229.9E-6,0.3488
12110,A36,0.3900,-0.02973,25.26E-6,0.3911,-5.137E-6,5.774E-6,7.481E-6,10.76E-6,0.3911
12110,A37,0.2494,-0.01901,16.15E-6,0.2501,-3.285E-6,3.692E-6,4.783E-6,6.878E-6,0.2501
12110,A38,1.154,0.2942,845.9E-6,1.191,-2.393E-6,-15.60E-6,37.37E-6,40.57E-6,1.191
12110,A39,0.7380,0.1881,540.9E-6,0.7616,-1.530E-6,-9.973E-6,23.89E-6,25.94E-6,0.7616
12110,A40,-69.53E-6,-12.01,134.3E-9,12.01,245.7E-6,-59.67E-6,-6.574E-6,252.9E-6,12.01
12110,A41,76.25E-6,13.17,-147.3E-9,13.17,-269.4E-6,65.45E-6,7.210E-6,277.4E-6,13.17
12110,A42,-441.2E-6,3.098,-666.0E-9,3.098,0.001139,135.7E-6,184.1E-6,0.001161,3.098
12110,A43,176.5E-6,-1.239,266.4E-9,1.239,-455.5E-6,-54.30E-6,-73.64E-6,464.6E-6,1.239
12110,A44,41.36E-6,0.02864,235.1E-9,0.02864,12.71E-6,-253.3E-6,6.378E-6,253.7E-6,0.02864
12110,A45,0.05433,0.003939,39.28E-9,0.05447,-21.78E-6,-158.3E-6,8.640E-6,160.1E-6,0.05447
12110,A46,4.964E-6,-0.002291,4.426E-9,0.002291,-1.813E-6,50.61E-6,-1.209E-6,50.66E-6,0.002291
12110,A47,-8.386,-0.8760,-34.59E-6,8.431,57.79E-6,233.4E-6,-221.3E-6,326.8E-6,8.431
12110,A48,8.551,-0.8813,-89.56E-9,8.597,-43.10E-6,5.698E-6,262.4E-6,266.0E-6,8.597
