Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:31:46

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Reactions
"Reactions due to restraints, spring supports, applied displacements and grounded springs"
Output axes:  global
"Node list:  ""bearings bottom"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Reactions
,,[kN],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm]
Node,Case,Fx,Fy,Fz,|F|,Mxx,Myy,Mzz,|M|
17027,A1,0.0,0.0,16960.,16960.,0.0,0.0,0.0,0.0
17027,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17027,A3,0.0,0.0,4974.,4974.,0.0,0.0,0.0,0.0
17027,A4,0.0,0.0,2655.,2655.,0.0,0.0,0.0,0.0
17027,A5,0.0,0.0,1800.,1800.,0.0,0.0,0.0,0.0
17027,A6,0.0,0.0,635.1,635.1,0.0,0.0,0.0,0.0
17027,A7,0.0,0.0,876.3,876.3,0.0,0.0,0.0,0.0
17027,A8,0.0,0.0,1680.,1680.,0.0,0.0,0.0,0.0
17027,A9,0.0,0.0,3901.,3901.,0.0,0.0,0.0,0.0
17027,A10,0.0,0.0,798.2,798.2,0.0,0.0,0.0,0.0
17027,A11,0.0,0.0,5977.,5977.,0.0,0.0,0.0,0.0
17027,A12,0.0,0.0,4746.,4746.,0.0,0.0,0.0,0.0
17027,A13,0.0,0.0,510.1,510.1,0.0,0.0,0.0,0.0
17027,A14,0.0,0.0,1134.,1134.,0.0,0.0,0.0,0.0
17027,A20,0.0,0.0,-4.445,4.445,0.0,0.0,0.0,0.0
17027,A21,0.0,0.0,-2.971,2.971,0.0,0.0,0.0,0.0
17027,A22,0.0,0.0,-81.40,81.40,0.0,0.0,0.0,0.0
17027,A23,0.0,0.0,-54.48,54.48,0.0,0.0,0.0,0.0
17027,A24,0.0,0.0,21.41,21.41,0.0,0.0,0.0,0.0
17027,A25,0.0,0.0,14.37,14.37,0.0,0.0,0.0,0.0
17027,A26,0.0,0.0,-2448.,2448.,0.0,0.0,0.0,0.0
17027,A27,0.0,0.0,2448.,2448.,0.0,0.0,0.0,0.0
17027,A28,0.0,0.0,-1636.,1636.,0.0,0.0,0.0,0.0
17027,A29,0.0,0.0,1637.,1637.,0.0,0.0,0.0,0.0
17027,A30,0.0,0.0,-121.2,121.2,0.0,0.0,0.0,0.0
17027,A31,0.0,0.0,121.2,121.2,0.0,0.0,0.0,0.0
17027,A32,0.0,0.0,-80.99,80.99,0.0,0.0,0.0,0.0
17027,A33,0.0,0.0,80.99,80.99,0.0,0.0,0.0,0.0
17027,A34,0.0,0.0,-1085.,1085.,0.0,0.0,0.0,0.0
17027,A35,0.0,0.0,-726.3,726.3,0.0,0.0,0.0,0.0
17027,A36,0.0,0.0,-2.526,2.526,0.0,0.0,0.0,0.0
17027,A37,0.0,0.0,-1.615,1.615,0.0,0.0,0.0,0.0
17027,A38,0.0,0.0,-84.59,84.59,0.0,0.0,0.0,0.0
17027,A39,0.0,0.0,-54.09,54.09,0.0,0.0,0.0,0.0
17027,A40,0.0,0.0,-0.01343,0.01343,0.0,0.0,0.0,0.0
17027,A41,0.0,0.0,0.01473,0.01473,0.0,0.0,0.0,0.0
17027,A42,0.0,0.0,0.06660,0.06660,0.0,0.0,0.0,0.0
17027,A43,0.0,0.0,-0.02664,0.02664,0.0,0.0,0.0,0.0
17027,A44,0.0,0.0,-0.02351,0.02351,0.0,0.0,0.0,0.0
17027,A45,0.0,0.0,-0.003928,0.003928,0.0,0.0,0.0,0.0
17027,A46,0.0,0.0,-442.6E-6,442.6E-6,0.0,0.0,0.0,0.0
17027,A47,0.0,0.0,3.459,3.459,0.0,0.0,0.0,0.0
17027,A48,0.0,0.0,0.008956,0.008956,0.0,0.0,0.0,0.0
17027,A49,0.0,0.0,-0.04332,0.04332,0.0,0.0,0.0,0.0
17027,A50,0.0,0.0,-0.01051,0.01051,0.0,0.0,0.0,0.0
17027,A100,0.0,0.0,2356.,2356.,0.0,0.0,0.0,0.0
17027,A101,0.0,0.0,1096.,1096.,0.0,0.0,0.0,0.0
17027,A102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17027,A103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17027,A104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17027,A105,0.0,0.0,-705.6,705.6,0.0,0.0,0.0,0.0
17027,A106,0.0,0.0,-41.79,41.79,0.0,0.0,0.0,0.0
17027,A107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17027,A108,0.0,0.0,-2647.,2647.,0.0,0.0,0.0,0.0
17027,A109,0.0,0.0,3304.,3304.,0.0,0.0,0.0,0.0
17027,A110,0.0,0.0,47.85,47.85,0.0,0.0,0.0,0.0
17027,A111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17027,A112,0.0,0.0,3297.,3297.,0.0,0.0,0.0,0.0
17027,A113,0.0,0.0,-3455.,3455.,0.0,0.0,0.0,0.0
17027,A114,0.0,0.0,15.19,15.19,0.0,0.0,0.0,0.0
17027,A115,0.0,0.0,7110.,7110.,0.0,0.0,0.0,0.0
17027,A116,0.0,0.0,13.97,13.97,0.0,0.0,0.0,0.0
17027,A117,0.0,0.0,10100.,10100.,0.0,0.0,0.0,0.0
17027,A118,0.0,0.0,283.3E-6,283.3E-6,0.0,0.0,0.0,0.0
17027,A119,0.0,0.0,-161.4E-6,161.4E-6,0.0,0.0,0.0,0.0
17027,A120,0.0,0.0,71.00E-6,71.00E-6,0.0,0.0,0.0,0.0
17027,A121,0.0,0.0,-108.5E-6,108.5E-6,0.0,0.0,0.0,0.0
17027,A122,0.0,0.0,48.39E-6,48.39E-6,0.0,0.0,0.0,0.0
17027,A123,0.0,0.0,-50.71E-6,50.71E-6,0.0,0.0,0.0,0.0
17027,A124,0.0,0.0,2.869E-6,2.869E-6,0.0,0.0,0.0,0.0
17027,A125,0.0,0.0,-2.576E-6,2.576E-6,0.0,0.0,0.0,0.0
17027,A126,0.0,0.0,-44.78E-6,44.78E-6,0.0,0.0,0.0,0.0
17027,A127,0.0,0.0,42.12E-6,42.12E-6,0.0,0.0,0.0,0.0
17027,A128,0.0,0.0,-100.2E-6,100.2E-6,0.0,0.0,0.0,0.0
17027,A129,0.0,0.0,66.63E-6,66.63E-6,0.0,0.0,0.0,0.0
17027,A130,0.0,0.0,-151.7E-6,151.7E-6,0.0,0.0,0.0,0.0
17027,A131,0.0,0.0,267.6E-6,267.6E-6,0.0,0.0,0.0,0.0
17027,C1,0.0,0.0,25760.,25760.,0.0,0.0,0.0,0.0
17027,C2,0.0,0.0,24900.,24900.,0.0,0.0,0.0,0.0
17027,C4,0.0,0.0,18190.,18190.,0.0,0.0,0.0,0.0
17027,C5,0.0,0.0,17320.,17320.,0.0,0.0,0.0,0.0
17027,C6,0.0,0.0,510.1,510.1,0.0,0.0,0.0,0.0
17027,C7,0.0,0.0,1134.,1134.,0.0,0.0,0.0,0.0
17027,C8,0.0,0.0,5977.,5977.,0.0,0.0,0.0,0.0
17027,C9,0.0,0.0,4746.,4746.,0.0,0.0,0.0,0.0
17027,C11,0.0,0.0,25810.,25810.,0.0,0.0,0.0,0.0
17027,C12,0.0,0.0,23710.,23710.,0.0,0.0,0.0,0.0
17027,C20,0.0,0.0,-1152.,1152.,0.0,0.0,0.0,0.0
17027,C21,0.0,0.0,1018.,1018.,0.0,0.0,0.0,0.0
17027,C22,0.0,0.0,-1018.,1018.,0.0,0.0,0.0,0.0
17027,C23,0.0,0.0,1152.,1152.,0.0,0.0,0.0,0.0
17027,C24,0.0,0.0,-3739.,3739.,0.0,0.0,0.0,0.0
17027,C25,0.0,0.0,-1568.,1568.,0.0,0.0,0.0,0.0
17027,C26,0.0,0.0,1568.,1568.,0.0,0.0,0.0,0.0
17027,C27,0.0,0.0,3739.,3739.,0.0,0.0,0.0,0.0
17027,C28,0.0,0.0,-2214.,2214.,0.0,0.0,0.0,0.0
17027,C29,0.0,0.0,-43.03,43.03,0.0,0.0,0.0,0.0
17027,C30,0.0,0.0,-90.85,90.85,0.0,0.0,0.0,0.0
17027,C31,0.0,0.0,2080.,2080.,0.0,0.0,0.0,0.0
17027,C32,0.0,0.0,-771.0,771.0,0.0,0.0,0.0,0.0
17027,C33,0.0,0.0,681.6,681.6,0.0,0.0,0.0,0.0
17027,C34,0.0,0.0,-681.6,681.6,0.0,0.0,0.0,0.0
17027,C35,0.0,0.0,771.0,771.0,0.0,0.0,0.0,0.0
17027,C36,0.0,0.0,-2498.,2498.,0.0,0.0,0.0,0.0
17027,C37,0.0,0.0,-1045.,1045.,0.0,0.0,0.0,0.0
17027,C38,0.0,0.0,1045.,1045.,0.0,0.0,0.0,0.0
17027,C39,0.0,0.0,2498.,2498.,0.0,0.0,0.0,0.0
17027,C40,0.0,0.0,-1480.,1480.,0.0,0.0,0.0,0.0
17027,C41,0.0,0.0,-27.05,27.05,0.0,0.0,0.0,0.0
17027,C42,0.0,0.0,-62.31,62.31,0.0,0.0,0.0,0.0
17027,C43,0.0,0.0,1390.,1390.,0.0,0.0,0.0,0.0
17027,C50,0.0,0.0,0.01473,0.01473,0.0,0.0,0.0,0.0
17027,C51,0.0,0.0,-0.01343,0.01343,0.0,0.0,0.0,0.0
17027,C52,0.0,0.0,-0.02664,0.02664,0.0,0.0,0.0,0.0
17027,C53,0.0,0.0,0.06660,0.06660,0.0,0.0,0.0,0.0
17027,C54,0.0,0.0,-0.02351,0.02351,0.0,0.0,0.0,0.0
17027,C55,0.0,0.0,0.02351,0.02351,0.0,0.0,0.0,0.0
17027,C56,0.0,0.0,-0.003928,0.003928,0.0,0.0,0.0,0.0
17027,C57,0.0,0.0,0.003928,0.003928,0.0,0.0,0.0,0.0
17027,C58,0.0,0.0,-0.01051,0.01051,0.0,0.0,0.0,0.0
17027,C59,0.0,0.0,0.01051,0.01051,0.0,0.0,0.0,0.0
17027,C60,0.0,0.0,442.6E-6,442.6E-6,0.0,0.0,0.0,0.0
17027,C61,0.0,0.0,-442.6E-6,442.6E-6,0.0,0.0,0.0,0.0
17027,C62,0.0,0.0,3.459,3.459,0.0,0.0,0.0,0.0
17027,C63,0.0,0.0,0.008956,0.008956,0.0,0.0,0.0,0.0
17027,C64,0.0,0.0,0.04332,0.04332,0.0,0.0,0.0,0.0
17027,C65,0.0,0.0,-0.04332,0.04332,0.0,0.0,0.0,0.0
17027,C66,0.0,0.0,0.002030,0.002030,0.0,0.0,0.0,0.0
17027,C67,0.0,0.0,0.03839,0.03839,0.0,0.0,0.0,0.0
17027,C68,0.0,0.0,0.01239,0.01239,0.0,0.0,0.0,0.0
17027,C69,0.0,0.0,0.01888,0.01888,0.0,0.0,0.0,0.0
17027,C70,0.0,0.0,0.002185,0.002185,0.0,0.0,0.0,0.0
17027,C71,0.0,0.0,0.03823,0.03823,0.0,0.0,0.0,0.0
17027,C72,0.0,0.0,0.01283,0.01283,0.0,0.0,0.0,0.0
17027,C73,0.0,0.0,0.01844,0.01844,0.0,0.0,0.0,0.0
17027,C74,0.0,0.0,0.01735,0.01735,0.0,0.0,0.0,0.0
17027,C75,0.0,0.0,0.02307,0.02307,0.0,0.0,0.0,0.0
17027,C76,0.0,0.0,0.01719,0.01719,0.0,0.0,0.0,0.0
17027,C77,0.0,0.0,0.02322,0.02322,0.0,0.0,0.0,0.0
17027,C78,0.0,0.0,0.05615,0.05615,0.0,0.0,0.0,0.0
17027,C79,0.0,0.0,-0.02488,0.02488,0.0,0.0,0.0,0.0
17027,C80,0.0,0.0,0.05571,0.05571,0.0,0.0,0.0,0.0
17027,C81,0.0,0.0,-0.02444,0.02444,0.0,0.0,0.0,0.0
17027,C82,0.0,0.0,3.450,3.450,0.0,0.0,0.0,0.0
17027,C83,0.0,0.0,-0.006259,0.006259,0.0,0.0,0.0,0.0
17027,C84,0.0,0.0,2.578,2.578,0.0,0.0,0.0,0.0
17027,C85,0.0,0.0,-0.01460,0.01460,0.0,0.0,0.0,0.0
17027,C86,0.0,0.0,3.450,3.450,0.0,0.0,0.0,0.0
17027,C87,0.0,0.0,-0.006414,0.006414,0.0,0.0,0.0,0.0
17027,C88,0.0,0.0,2.577,2.577,0.0,0.0,0.0,0.0
17027,C89,0.0,0.0,-0.01504,0.01504,0.0,0.0,0.0,0.0
17027,C90,0.0,0.0,3.520,3.520,0.0,0.0,0.0,0.0
17027,C91,0.0,0.0,0.07085,0.07085,0.0,0.0,0.0,0.0
17027,C92,0.0,0.0,2.630,2.630,0.0,0.0,0.0,0.0
17027,C93,0.0,0.0,0.04323,0.04323,0.0,0.0,0.0,0.0
17027,C95,0.0,0.0,0.01835,0.01835,0.0,0.0,0.0,0.0
17027,C96,0.0,0.0,-0.01705,0.01705,0.0,0.0,0.0,0.0
17027,C97,0.0,0.0,-0.02664,0.02664,0.0,0.0,0.0,0.0
17027,C98,0.0,0.0,0.06660,0.06660,0.0,0.0,0.0,0.0
17027,C99,0.0,0.0,-0.02351,0.02351,0.0,0.0,0.0,0.0
17027,C100,0.0,0.0,0.02351,0.02351,0.0,0.0,0.0,0.0
17027,C101,0.0,0.0,0.003928,0.003928,0.0,0.0,0.0,0.0
17027,C102,0.0,0.0,-0.003928,0.003928,0.0,0.0,0.0,0.0
17027,C103,0.0,0.0,0.01051,0.01051,0.0,0.0,0.0,0.0
17027,C104,0.0,0.0,-0.01051,0.01051,0.0,0.0,0.0,0.0
17027,C105,0.0,0.0,442.6E-6,442.6E-6,0.0,0.0,0.0,0.0
17027,C106,0.0,0.0,-442.6E-6,442.6E-6,0.0,0.0,0.0,0.0
17027,C107,0.0,0.0,3.459,3.459,0.0,0.0,0.0,0.0
17027,C108,0.0,0.0,0.008956,0.008956,0.0,0.0,0.0,0.0
17027,C109,0.0,0.0,-0.04332,0.04332,0.0,0.0,0.0,0.0
