Arup





File WBBn_base_v48_traffic (Node effects)_solved.gwb
Exported 03/02/2021 16:30:56

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Combination Case and Envelope Details
Cases for which results are not available are displayed in red" or, in case descriptions, within angle brackets."


Combination Cases

START_TABLE Combination Cases
Case,Name,Note,Permutation,Description
C1421,C1421,,,A1
C1422,C1422,,,A2
C1423,C1423,,,A3
C1424,C1424,,,A4
C1425,C1425,,,A5
C1426,C1426,,,A6
C1427,C1427,,,A7
C1428,C1428,,,A8
C1429,C1429,,,A9
C1430,C1430,,,A10
C1431,C1431,,,A11
C1432,C1432,,,A12
C1433,C1433,,,A13
C1434,C1434,,,A14
C1435,C1435,,,A15
C1436,C1436,,,A16
C1437,C1437,,,A17
C1438,C1438,,,A18
C1439,C1439,,,A19
C1440,C1440,,,A20
C1441,C1441,,,A21
C1442,C1442,,,A22
C1443,C1443,,,A23
C1444,C1444,,,A24
C1445,C1445,,,A25
C1446,C1446,,,A26
C1447,C1447,,,A27
C1448,C1448,,,A28
C1449,C1449,,,A29
C1450,C1450,,,A30
C1451,C1451,,,A31
C1452,C1452,,,A32
C1453,C1453,,,A33
C1454,C1454,,,A34
C1455,C1455,,,A35
C1456,C1456,,,A36
C1457,C1457,,,A37
C1458,C1458,,,A38
C1459,C1459,,,A39
C1460,C1460,,,A40
C1461,C1461,,,A41
C1462,C1462,,,A42
C1463,C1463,,,A43
C1464,C1464,,,A44
C1465,C1465,,,A45
C1466,C1466,,,A46
C1467,C1467,,,A47
C1468,C1468,,,A48
C1469,C1469,,,A49
C1470,C1470,,,A50
C1471,C1471,,,A51
C1472,C1472,,,A52
C1473,C1473,,,A53
C1474,C1474,,,A54
C1475,C1475,,,A55
C1476,C1476,,,A56
C1477,C1477,,,A57
C1478,C1478,,,A58
C1479,C1479,,,A59
C1480,C1480,,,A60
C1481,C1481,,,A61
C1482,C1482,,,A62
C1483,C1483,,,A63
C1484,C1484,,,A64
C1485,C1485,,,A65
C1486,C1486,,,A66
C1487,C1487,,,A67
C1488,C1488,,,A68
C1489,C1489,,,A69
C1490,C1490,,,A70
C1491,C1491,,,A71
C1492,C1492,,,A72
C1493,C1493,,,A73
END_TABLE

Analysis Envelope Tasks
This table is empty.
