Arup





File WBBn_base_v48_traffic (Node effects)_solved.gwb
Exported 03/02/2021 16:31:59

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
12110,A1,18.51,-2.888,-0.03536,18.74,-825.2E-6,0.001959,256.4E-6,0.002141,18.74
12110,A2,-17.02,-0.4047,-0.04821,17.02,-91.92E-6,553.1E-6,-532.0E-6,772.9E-6,17.02
12110,A3,16.91,-3.247,-0.04128,17.22,-862.4E-6,0.002294,204.8E-6,0.002459,17.22
12110,A4,-15.20,-0.4087,-0.04185,15.21,-128.1E-6,140.6E-6,-502.6E-6,537.4E-6,15.21
12110,A5,9.883,-3.141,-0.04829,10.37,-797.7E-6,0.002763,-20.60E-6,0.002876,10.37
12110,A6,1.579,-3.108,-0.02317,3.486,-469.7E-6,-577.3E-6,83.33E-6,748.9E-6,3.486
12110,A7,10.74,-1.782,-0.05641,10.89,-623.2E-6,0.002238,29.18E-6,0.002323,10.89
12110,A8,-0.4016,-0.08625,-513.6E-6,0.4108,-20.26E-6,-41.70E-6,-14.17E-6,48.47E-6,0.4108
12110,A9,10.96,-1.695,-0.05778,11.09,-592.3E-6,0.002244,66.48E-6,0.002322,11.09
12110,A10,-0.3087,-1.070,-0.001103,1.113,-125.2E-6,-11.75E-6,7.045E-6,126.0E-6,1.113
12110,A11,13.60,-1.849,-0.05478,13.72,-590.5E-6,0.002236,193.0E-6,0.002321,13.72
12110,A12,-9.234,-1.558,-0.02063,9.364,-267.9E-6,-82.79E-6,-302.0E-6,412.1E-6,9.364
12110,A13,-10.88,-0.4288,-0.04979,10.89,-271.4E-6,768.8E-6,-487.1E-6,949.7E-6,10.89
12110,A14,6.312,-6.596,-0.03820,9.129,-997.0E-6,0.001089,209.2E-6,0.001491,9.129
12110,A15,-11.86,-0.3002,-0.03796,11.86,-204.5E-6,211.0E-6,-490.1E-6,571.4E-6,11.86
12110,A16,6.310,-7.251,-0.04968,9.612,-0.001186,0.001546,197.6E-6,0.001959,9.612
12110,A17,-9.468,-0.2514,-0.02670,9.472,-194.0E-6,-39.72E-6,-423.0E-6,467.0E-6,9.472
12110,A18,5.174,-7.283,-0.05826,8.934,-0.001211,0.001868,158.6E-6,0.002231,8.934
12110,A19,-18.32,-1.577,-0.07360,18.39,-140.8E-6,0.002078,-475.7E-6,0.002136,18.39
12110,A20,12.50,-0.6233,-0.01452,12.51,-362.3E-6,610.7E-6,177.6E-6,732.0E-6,12.51
12110,A21,-19.49,-2.236,-0.07285,19.62,-220.6E-6,0.002453,-510.7E-6,0.002515,19.62
12110,A22,10.95,-0.3592,-0.02012,10.95,-301.1E-6,409.5E-6,196.5E-6,544.9E-6,10.95
12110,A23,-18.03,-2.761,-0.06778,18.24,-321.1E-6,0.002361,-438.2E-6,0.002423,18.24
12110,A24,9.576,-0.3511,-0.02415,9.583,-296.4E-6,176.0E-6,170.6E-6,384.6E-6,9.583
12110,A25,-5.933,-1.334,-0.05981,6.082,-157.6E-6,0.003598,-176.1E-6,0.003606,6.082
12110,A26,0.4094,-6.793,-0.04178,6.805,-0.001287,-382.0E-6,8.292E-6,0.001343,6.805
12110,A27,1.937,-0.8062,-0.01439,2.098,-156.6E-6,-537.3E-6,65.64E-6,563.5E-6,2.098
12110,A28,-0.5642,-3.419,-0.06648,3.466,-692.2E-6,0.002935,-182.2E-6,0.003021,3.465
12110,A29,-0.1146,-5.925,-0.06297,5.927,-0.001102,0.003102,-180.4E-6,0.003297,5.926
12110,A30,-0.1040,-4.705,-0.03013,4.706,-945.1E-6,-663.4E-6,37.77E-6,0.001155,4.706
12110,A31,-1.411,-3.369,-0.06333,3.653,-652.2E-6,0.003066,-186.2E-6,0.003140,3.653
12110,A32,-2.282,-0.8645,-0.02065,2.440,-245.5E-6,-657.0E-6,-99.28E-6,708.4E-6,2.440
12110,A33,20.70,-1.725,-0.01851,20.77,-658.7E-6,875.8E-6,343.9E-6,0.001149,20.77
12110,A34,-20.58,-0.8537,-0.07052,20.60,19.89E-6,0.002625,-510.2E-6,0.002674,20.60
12110,A35,0.8293,-7.962,-0.07629,8.005,-0.001523,0.002715,-81.82E-6,0.003114,8.005
12110,A36,-9.189,-3.109,-0.07948,9.701,-450.6E-6,0.004033,-272.6E-6,0.004068,9.701
12110,A37,-2.367,-0.8211,-0.02167,2.505,-247.7E-6,-623.4E-6,-105.8E-6,679.1E-6,2.505
12110,A38,15.45,-1.131,-0.01545,15.49,-369.2E-6,133.6E-6,413.7E-6,570.4E-6,15.49
12110,A39,-14.75,-2.082,-0.05975,14.90,-368.1E-6,0.001772,-556.8E-6,0.001894,14.90
12110,A40,9.461,-3.110,-0.04878,9.959,-789.5E-6,0.002772,-35.18E-6,0.002882,9.959
12110,A41,2.179,-0.8216,-0.01990,2.329,-176.7E-6,-569.7E-6,66.41E-6,600.1E-6,2.329
12110,A42,14.93,-2.132,-0.03118,15.08,-513.0E-6,0.001299,314.6E-6,0.001431,15.08
12110,A43,-15.36,-0.9516,-0.04517,15.39,-182.7E-6,710.2E-6,-466.3E-6,869.0E-6,15.39
12110,A44,-3.432,-1.393,-0.06927,3.705,-416.1E-6,0.002086,-266.2E-6,0.002144,3.704
12110,A45,-0.2030,-0.04592,-57.95E-6,0.2081,-5.968E-6,139.7E-9,-6.456E-6,8.793E-6,0.2081
12110,A46,-0.6296,-0.3056,-0.03583,0.7008,-170.8E-6,-215.6E-6,-66.40E-6,282.9E-6,0.6999
12110,A47,-5.857,-2.689,-0.06743,6.445,-432.6E-6,0.003369,-226.0E-6,0.003404,6.444
12110,A48,-4.055,-0.7250,-0.02385,4.120,-244.8E-6,-662.0E-6,-167.0E-6,725.3E-6,4.119
12110,A49,-16.04,-1.257,-0.05134,16.09,-173.7E-6,0.001055,-470.9E-6,0.001168,16.09
12110,A50,16.97,-0.3133,-0.01445,16.97,-286.3E-6,432.2E-6,385.8E-6,646.2E-6,16.97
12110,A51,13.47,-1.633,-0.05358,13.57,-540.4E-6,0.001786,208.2E-6,0.001877,13.57
12110,A52,-10.27,-0.3599,-0.02454,10.28,-55.10E-6,340.0E-6,-320.6E-6,470.6E-6,10.28
12110,A53,6.083,-2.689,-0.04772,6.651,-657.3E-6,0.002594,-58.80E-6,0.002677,6.651
12110,A54,3.823,-0.7260,-0.01976,3.891,-153.2E-6,-608.8E-6,120.4E-6,639.3E-6,3.891
12110,A55,-16.91,-1.219,-0.05394,16.96,-161.3E-6,0.001440,-475.8E-6,0.001525,16.96
12110,A56,15.92,-0.2748,-0.01452,15.93,-259.8E-6,172.3E-6,380.0E-6,491.5E-6,15.93
12110,A57,-8.769,-5.967,-0.09556,10.61,-0.001176,0.002856,-272.7E-6,0.003100,10.61
12110,A58,3.403,-0.03778,29.12E-6,3.403,-77.93E-6,111.0E-6,60.45E-6,148.5E-6,3.403
12110,A59,9.306,-5.968,-0.05750,11.06,-0.001196,0.001956,51.90E-6,0.002293,11.06
12110,A60,-3.404,-0.03693,-0.009733,3.405,36.93E-6,430.7E-6,-71.68E-6,438.2E-6,3.405
12110,A61,-12.35,-1.283,-0.06741,12.42,3.718E-6,0.002580,-216.3E-6,0.002589,12.42
