Arup





File WBBn_base_v48_traffic (Node effects)_solved.gwb
Exported 03/02/2021 16:32:32

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Reactions
"Reactions due to restraints, spring supports, applied displacements and grounded springs"
Output axes:  global
"Node list:  ""bearings bottom"""

START_TABLE Reactions
,,[kN],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm]
Node,Case,Fx,Fy,Fz,|F|,Mxx,Myy,Mzz,|M|
17027,A1,0.0,0.0,3536.,3536.,0.0,0.0,0.0,0.0
17027,A2,0.0,0.0,4821.,4821.,0.0,0.0,0.0,0.0
17027,A3,0.0,0.0,4128.,4128.,0.0,0.0,0.0,0.0
17027,A4,0.0,0.0,4185.,4185.,0.0,0.0,0.0,0.0
17027,A5,0.0,0.0,4829.,4829.,0.0,0.0,0.0,0.0
17027,A6,0.0,0.0,2317.,2317.,0.0,0.0,0.0,0.0
17027,A7,0.0,0.0,5641.,5641.,0.0,0.0,0.0,0.0
17027,A8,0.0,0.0,51.36,51.36,0.0,0.0,0.0,0.0
17027,A9,0.0,0.0,5778.,5778.,0.0,0.0,0.0,0.0
17027,A10,0.0,0.0,110.3,110.3,0.0,0.0,0.0,0.0
17027,A11,0.0,0.0,5478.,5478.,0.0,0.0,0.0,0.0
17027,A12,0.0,0.0,2063.,2063.,0.0,0.0,0.0,0.0
17027,A13,0.0,0.0,4979.,4979.,0.0,0.0,0.0,0.0
17027,A14,0.0,0.0,3820.,3820.,0.0,0.0,0.0,0.0
17027,A15,0.0,0.0,3796.,3796.,0.0,0.0,0.0,0.0
17027,A16,0.0,0.0,4968.,4968.,0.0,0.0,0.0,0.0
17027,A17,0.0,0.0,2670.,2670.,0.0,0.0,0.0,0.0
17027,A18,0.0,0.0,5826.,5826.,0.0,0.0,0.0,0.0
17027,A19,0.0,0.0,7360.,7360.,0.0,0.0,0.0,0.0
17027,A20,0.0,0.0,1452.,1452.,0.0,0.0,0.0,0.0
17027,A21,0.0,0.0,7285.,7285.,0.0,0.0,0.0,0.0
17027,A22,0.0,0.0,2012.,2012.,0.0,0.0,0.0,0.0
17027,A23,0.0,0.0,6778.,6778.,0.0,0.0,0.0,0.0
17027,A24,0.0,0.0,2415.,2415.,0.0,0.0,0.0,0.0
17027,A25,0.0,0.0,5981.,5981.,0.0,0.0,0.0,0.0
17027,A26,0.0,0.0,4178.,4178.,0.0,0.0,0.0,0.0
17027,A27,0.0,0.0,1439.,1439.,0.0,0.0,0.0,0.0
17027,A28,0.0,0.0,6648.,6648.,0.0,0.0,0.0,0.0
17027,A29,0.0,0.0,6297.,6297.,0.0,0.0,0.0,0.0
17027,A30,0.0,0.0,3013.,3013.,0.0,0.0,0.0,0.0
17027,A31,0.0,0.0,6333.,6333.,0.0,0.0,0.0,0.0
17027,A32,0.0,0.0,2065.,2065.,0.0,0.0,0.0,0.0
17027,A33,0.0,0.0,1851.,1851.,0.0,0.0,0.0,0.0
17027,A34,0.0,0.0,7052.,7052.,0.0,0.0,0.0,0.0
17027,A35,0.0,0.0,7629.,7629.,0.0,0.0,0.0,0.0
17027,A36,0.0,0.0,7948.,7948.,0.0,0.0,0.0,0.0
17027,A37,0.0,0.0,2167.,2167.,0.0,0.0,0.0,0.0
17027,A38,0.0,0.0,1545.,1545.,0.0,0.0,0.0,0.0
17027,A39,0.0,0.0,5975.,5975.,0.0,0.0,0.0,0.0
17027,A40,0.0,0.0,4878.,4878.,0.0,0.0,0.0,0.0
17027,A41,0.0,0.0,1990.,1990.,0.0,0.0,0.0,0.0
17027,A42,0.0,0.0,3118.,3118.,0.0,0.0,0.0,0.0
17027,A43,0.0,0.0,4517.,4517.,0.0,0.0,0.0,0.0
17027,A44,0.0,0.0,6927.,6927.,0.0,0.0,0.0,0.0
17027,A45,0.0,0.0,5.795,5.795,0.0,0.0,0.0,0.0
17027,A46,0.0,0.0,3583.,3583.,0.0,0.0,0.0,0.0
17027,A47,0.0,0.0,6743.,6743.,0.0,0.0,0.0,0.0
17027,A48,0.0,0.0,2385.,2385.,0.0,0.0,0.0,0.0
17027,A49,0.0,0.0,5134.,5134.,0.0,0.0,0.0,0.0
17027,A50,0.0,0.0,1445.,1445.,0.0,0.0,0.0,0.0
17027,A51,0.0,0.0,5358.,5358.,0.0,0.0,0.0,0.0
17027,A52,0.0,0.0,2454.,2454.,0.0,0.0,0.0,0.0
17027,A53,0.0,0.0,4772.,4772.,0.0,0.0,0.0,0.0
17027,A54,0.0,0.0,1976.,1976.,0.0,0.0,0.0,0.0
17027,A55,0.0,0.0,5394.,5394.,0.0,0.0,0.0,0.0
17027,A56,0.0,0.0,1452.,1452.,0.0,0.0,0.0,0.0
17027,A57,0.0,0.0,9556.,9556.,0.0,0.0,0.0,0.0
17027,A58,0.0,0.0,-2.912,2.912,0.0,0.0,0.0,0.0
17027,A59,0.0,0.0,5750.,5750.,0.0,0.0,0.0,0.0
17027,A60,0.0,0.0,973.3,973.3,0.0,0.0,0.0,0.0
17027,A61,0.0,0.0,6741.,6741.,0.0,0.0,0.0,0.0
17027,A62,0.0,0.0,2485.,2485.,0.0,0.0,0.0,0.0
17027,A63,0.0,0.0,2648.,2648.,0.0,0.0,0.0,0.0
17027,A64,0.0,0.0,4518.,4518.,0.0,0.0,0.0,0.0
17027,A65,0.0,0.0,4300.,4300.,0.0,0.0,0.0,0.0
17027,A66,0.0,0.0,459.3,459.3,0.0,0.0,0.0,0.0
17027,A67,0.0,0.0,4604.,4604.,0.0,0.0,0.0,0.0
17027,A68,0.0,0.0,1278.,1278.,0.0,0.0,0.0,0.0
17027,A69,0.0,0.0,2485.,2485.,0.0,0.0,0.0,0.0
17027,A70,0.0,0.0,6741.,6741.,0.0,0.0,0.0,0.0
17027,A71,0.0,0.0,7701.,7701.,0.0,0.0,0.0,0.0
17027,A72,0.0,0.0,4143.,4143.,0.0,0.0,0.0,0.0
17027,A73,0.0,0.0,744.4,744.4,0.0,0.0,0.0,0.0
17027,C1421,0.0,0.0,3536.,3536.,0.0,0.0,0.0,0.0
17027,C1422,0.0,0.0,4821.,4821.,0.0,0.0,0.0,0.0
17027,C1423,0.0,0.0,4128.,4128.,0.0,0.0,0.0,0.0
17027,C1424,0.0,0.0,4185.,4185.,0.0,0.0,0.0,0.0
17027,C1425,0.0,0.0,4829.,4829.,0.0,0.0,0.0,0.0
17027,C1426,0.0,0.0,2317.,2317.,0.0,0.0,0.0,0.0
17027,C1427,0.0,0.0,5641.,5641.,0.0,0.0,0.0,0.0
17027,C1428,0.0,0.0,51.36,51.36,0.0,0.0,0.0,0.0
17027,C1429,0.0,0.0,5778.,5778.,0.0,0.0,0.0,0.0
17027,C1430,0.0,0.0,110.3,110.3,0.0,0.0,0.0,0.0
17027,C1431,0.0,0.0,5478.,5478.,0.0,0.0,0.0,0.0
17027,C1432,0.0,0.0,2063.,2063.,0.0,0.0,0.0,0.0
17027,C1433,0.0,0.0,4979.,4979.,0.0,0.0,0.0,0.0
17027,C1434,0.0,0.0,3820.,3820.,0.0,0.0,0.0,0.0
17027,C1435,0.0,0.0,3796.,3796.,0.0,0.0,0.0,0.0
17027,C1436,0.0,0.0,4968.,4968.,0.0,0.0,0.0,0.0
17027,C1437,0.0,0.0,2670.,2670.,0.0,0.0,0.0,0.0
17027,C1438,0.0,0.0,5826.,5826.,0.0,0.0,0.0,0.0
17027,C1439,0.0,0.0,7360.,7360.,0.0,0.0,0.0,0.0
17027,C1440,0.0,0.0,1452.,1452.,0.0,0.0,0.0,0.0
17027,C1441,0.0,0.0,7285.,7285.,0.0,0.0,0.0,0.0
17027,C1442,0.0,0.0,2012.,2012.,0.0,0.0,0.0,0.0
17027,C1443,0.0,0.0,6778.,6778.,0.0,0.0,0.0,0.0
17027,C1444,0.0,0.0,2415.,2415.,0.0,0.0,0.0,0.0
17027,C1445,0.0,0.0,5981.,5981.,0.0,0.0,0.0,0.0
17027,C1446,0.0,0.0,4178.,4178.,0.0,0.0,0.0,0.0
17027,C1447,0.0,0.0,1439.,1439.,0.0,0.0,0.0,0.0
17027,C1448,0.0,0.0,6648.,6648.,0.0,0.0,0.0,0.0
17027,C1449,0.0,0.0,6297.,6297.,0.0,0.0,0.0,0.0
17027,C1450,0.0,0.0,3013.,3013.,0.0,0.0,0.0,0.0
17027,C1451,0.0,0.0,6333.,6333.,0.0,0.0,0.0,0.0
17027,C1452,0.0,0.0,2065.,2065.,0.0,0.0,0.0,0.0
17027,C1453,0.0,0.0,1851.,1851.,0.0,0.0,0.0,0.0
17027,C1454,0.0,0.0,7052.,7052.,0.0,0.0,0.0,0.0
17027,C1455,0.0,0.0,7629.,7629.,0.0,0.0,0.0,0.0
17027,C1456,0.0,0.0,7948.,7948.,0.0,0.0,0.0,0.0
17027,C1457,0.0,0.0,2167.,2167.,0.0,0.0,0.0,0.0
17027,C1458,0.0,0.0,1545.,1545.,0.0,0.0,0.0,0.0
17027,C1459,0.0,0.0,5975.,5975.,0.0,0.0,0.0,0.0
17027,C1460,0.0,0.0,4878.,4878.,0.0,0.0,0.0,0.0
17027,C1461,0.0,0.0,1990.,1990.,0.0,0.0,0.0,0.0
17027,C1462,0.0,0.0,3118.,3118.,0.0,0.0,0.0,0.0
17027,C1463,0.0,0.0,4517.,4517.,0.0,0.0,0.0,0.0
17027,C1464,0.0,0.0,6927.,6927.,0.0,0.0,0.0,0.0
17027,C1465,0.0,0.0,5.795,5.795,0.0,0.0,0.0,0.0
17027,C1466,0.0,0.0,3583.,3583.,0.0,0.0,0.0,0.0
17027,C1467,0.0,0.0,6743.,6743.,0.0,0.0,0.0,0.0
17027,C1468,0.0,0.0,2385.,2385.,0.0,0.0,0.0,0.0
17027,C1469,0.0,0.0,5134.,5134.,0.0,0.0,0.0,0.0
17027,C1470,0.0,0.0,1445.,1445.,0.0,0.0,0.0,0.0
17027,C1471,0.0,0.0,5358.,5358.,0.0,0.0,0.0,0.0
17027,C1472,0.0,0.0,2454.,2454.,0.0,0.0,0.0,0.0
17027,C1473,0.0,0.0,4772.,4772.,0.0,0.0,0.0,0.0
17027,C1474,0.0,0.0,1976.,1976.,0.0,0.0,0.0,0.0
17027,C1475,0.0,0.0,5394.,5394.,0.0,0.0,0.0,0.0
17027,C1476,0.0,0.0,1452.,1452.,0.0,0.0,0.0,0.0
17027,C1477,0.0,0.0,9556.,9556.,0.0,0.0,0.0,0.0
17027,C1478,0.0,0.0,-2.912,2.912,0.0,0.0,0.0,0.0
17027,C1479,0.0,0.0,5750.,5750.,0.0,0.0,0.0,0.0
17027,C1480,0.0,0.0,973.3,973.3,0.0,0.0,0.0,0.0
17027,C1481,0.0,0.0,6741.,6741.,0.0,0.0,0.0,0.0
17027,C1482,0.0,0.0,2485.,2485.,0.0,0.0,0.0,0.0
17027,C1483,0.0,0.0,2648.,2648.,0.0,0.0,0.0,0.0
17027,C1484,0.0,0.0,4518.,4518.,0.0,0.0,0.0,0.0
17027,C1485,0.0,0.0,4300.,4300.,0.0,0.0,0.0,0.0
17027,C1486,0.0,0.0,459.3,459.3,0.0,0.0,0.0,0.0
17027,C1487,0.0,0.0,4604.,4604.,0.0,0.0,0.0,0.0
17027,C1488,0.0,0.0,1278.,1278.,0.0,0.0,0.0,0.0
17027,C1489,0.0,0.0,2485.,2485.,0.0,0.0,0.0,0.0
17027,C1490,0.0,0.0,6741.,6741.,0.0,0.0,0.0,0.0
17027,C1491,0.0,0.0,7701.,7701.,0.0,0.0,0.0,0.0
17027,C1492,0.0,0.0,4143.,4143.,0.0,0.0,0.0,0.0
17027,C1493,0.0,0.0,744.4,744.4,0.0,0.0,0.0,0.0
30098,A1,-303.5E-9,-628.6E-6,8200.,8200.,0.0,0.0,0.0,0.0
30098,A2,340.6E-9,-125.0E-6,1469.,1469.,0.0,0.0,0.0,0.0
30098,A3,122.2E-9,-559.7E-6,8551.,8551.,0.0,0.0,0.0,0.0
30098,A4,459.4E-9,-342.8E-6,1445.,1445.,0.0,0.0,0.0,0.0
30098,A5,-371.1E-9,-543.9E-6,7970.,7970.,0.0,0.0,0.0,0.0
30098,A6,514.0E-9,405.8E-6,3142.,3142.,0.0,0.0,0.0,0.0
30098,A7,-225.4E-9,-644.5E-6,8937.,8937.,0.0,0.0,0.0,0.0
30098,A8,39.65E-9,-64.55E-6,111.1,111.1,0.0,0.0,0.0,0.0
30098,A9,-1.007E-6,-490.3E-6,8756.,8756.,0.0,0.0,0.0,0.0
30098,A10,12.87E-9,487.3E-9,650.8,650.8,0.0,0.0,0.0,0.0
30098,A11,-172.1E-9,-152.6E-6,8432.,8432.,0.0,0.0,0.0,0.0
30098,A12,24.53E-9,-544.0E-6,1165.,1165.,0.0,0.0,0.0,0.0
30098,A13,144.3E-9,-749.6E-6,3680.,3680.,0.0,0.0,0.0,0.0
30098,A14,321.9E-9,659.0E-6,5016.,5016.,0.0,0.0,0.0,0.0
30098,A15,-35.15E-9,-759.3E-6,2289.,2289.,0.0,0.0,0.0,0.0
30098,A16,-16.21E-9,522.5E-6,6037.,6037.,0.0,0.0,0.0,0.0
30098,A17,325.5E-9,-864.3E-6,1796.,1796.,0.0,0.0,0.0,0.0
30098,A18,296.5E-9,517.4E-6,6652.,6652.,0.0,0.0,0.0,0.0
30098,A19,21.29E-9,769.3E-6,2630.,2630.,0.0,0.0,0.0,0.0
30098,A20,44.65E-9,-679.9E-6,5053.,5053.,0.0,0.0,0.0,0.0
30098,A21,-151.7E-9,783.1E-6,2070.,2070.,0.0,0.0,0.0,0.0
30098,A22,-79.88E-9,-541.1E-6,4943.,4943.,0.0,0.0,0.0,0.0
30098,A23,-284.3E-9,886.2E-6,1408.,1408.,0.0,0.0,0.0,0.0
30098,A24,293.4E-9,-527.3E-6,5002.,5002.,0.0,0.0,0.0,0.0
30098,A25,381.1E-9,406.8E-6,3940.,3940.,0.0,0.0,0.0,0.0
30098,A26,122.6E-9,10.69E-6,4283.,4283.,0.0,0.0,0.0,0.0
30098,A27,323.1E-9,397.3E-6,1529.,1529.,0.0,0.0,0.0,0.0
30098,A28,336.1E-9,28.66E-6,6517.,6517.,0.0,0.0,0.0,0.0
30098,A29,-966.0E-9,5.028E-6,6130.,6130.,0.0,0.0,0.0,0.0
30098,A30,819.4E-9,-26.83E-6,2943.,2943.,0.0,0.0,0.0,0.0
30098,A31,-1.401E-6,78.04E-6,5869.,5869.,0.0,0.0,0.0,0.0
30098,A32,909.9E-9,-329.1E-6,1893.,1893.,0.0,0.0,0.0,0.0
30098,A33,-545.1E-9,-683.6E-6,7272.,7272.,0.0,0.0,0.0,0.0
30098,A34,-158.3E-9,672.2E-6,1649.,1649.,0.0,0.0,0.0,0.0
30098,A35,-89.13E-9,-38.38E-6,7816.,7816.,0.0,0.0,0.0,0.0
30098,A36,-412.8E-9,524.3E-6,4878.,4878.,0.0,0.0,0.0,0.0
30098,A37,621.4E-9,-380.3E-6,1990.,1990.,0.0,0.0,0.0,0.0
30098,A38,-27.44E-9,127.4E-6,4605.,4605.,0.0,0.0,0.0,0.0
30098,A39,-317.3E-9,-110.9E-6,3105.,3105.,0.0,0.0,0.0,0.0
30098,A40,-983.7E-9,-540.7E-6,7948.,7948.,0.0,0.0,0.0,0.0
30098,A41,143.1E-9,392.3E-6,2167.,2167.,0.0,0.0,0.0,0.0
30098,A42,26.95E-9,88.13E-6,6038.,6038.,0.0,0.0,0.0,0.0
30098,A43,265.1E-9,-139.0E-6,1472.,1472.,0.0,0.0,0.0,0.0
30098,A44,-287.5E-9,-357.6E-6,6736.,6736.,0.0,0.0,0.0,0.0
30098,A45,2.220E-9,5.154E-6,18.56,18.56,0.0,0.0,0.0,0.0
30098,A46,357.3E-9,6.748E-6,3538.,3538.,0.0,0.0,0.0,0.0
30098,A47,-1.256E-6,391.7E-6,4772.,4772.,0.0,0.0,0.0,0.0
30098,A48,566.2E-9,-501.7E-6,1976.,1976.,0.0,0.0,0.0,0.0
30098,A49,295.3E-9,116.4E-6,1809.,1809.,0.0,0.0,0.0,0.0
30098,A50,-225.2E-9,-153.1E-6,5225.,5225.,0.0,0.0,0.0,0.0
30098,A51,-229.9E-9,-101.6E-6,8252.,8252.,0.0,0.0,0.0,0.0
30098,A52,-21.91E-9,5.808E-6,406.7,406.7,0.0,0.0,0.0,0.0
30098,A53,-630.9E-9,-405.4E-6,6743.,6743.,0.0,0.0,0.0,0.0
30098,A54,580.7E-9,516.6E-6,2385.,2385.,0.0,0.0,0.0,0.0
30098,A55,-113.4E-9,152.7E-6,1649.,1649.,0.0,0.0,0.0,0.0
30098,A56,314.7E-9,-102.6E-6,4935.,4935.,0.0,0.0,0.0,0.0
30098,A57,46.08E-9,666.9E-6,5750.,5750.,0.0,0.0,0.0,0.0
30098,A58,-129.0E-9,-265.0E-6,973.3,973.3,0.0,0.0,0.0,0.0
30098,A59,-215.0E-9,-700.4E-6,9556.,9556.,0.0,0.0,0.0,0.0
30098,A60,10.37E-9,265.1E-6,-2.915,2.915,0.0,0.0,0.0,0.0
30098,A61,164.6E-9,0.001500,2179.,2179.,0.0,0.0,0.0,0.0
30098,A62,151.0E-9,-0.001502,7075.,7075.,0.0,0.0,0.0,0.0
30098,A63,649.5E-9,358.7E-6,3186.,3186.,0.0,0.0,0.0,0.0
30098,A64,-490.4E-9,-395.3E-6,6833.,6833.,0.0,0.0,0.0,0.0
30098,A65,243.2E-9,-646.2E-6,4604.,4604.,0.0,0.0,0.0,0.0
